Index,Name,Latitude,Longitude,Address
1,Ghana Revenue Authority  Legon Medium Taxpayer Office (MTO),5.642472400000001,-0.1779947,"Legon East Road, Accra"
2,DECARINDA ENTERPRISE,5.668640199999999,-0.1882667,"G 51, Agbogba - Ashongman Road, ESATE"
3,Kia-Start Up Consult - Ghana,5.6664328,-0.1777756,"Atomic Junction Roundabout, Madina"
4,Recreational Quandrangle,5.6529336,-0.1871377,"MR37+54H, J.K.M. Hodasi Road, Accra"
5,PH Art Gallery,5.651962700000001,-0.1819567,"MR29+Q6M, Osu Road, Accra"
6,Standard Chartered - Legon Branch ATM,5.651373200000001,-0.1877666,"W.E.B. Dubois Road, Accra"
7,HFC Bank - Legon Branch ATM (University of Ghana),5.6432692,-0.1850156,"Noguchi Road, UG - Credit Union Building - University of Ghana, Legon, Accra"
8,CalBank,5.6507756,-0.1888775,"Doutor J. B. Danquah Avenue, Accra"
9,Zenith Bank - Legon Botanical Gardens ATM,5.6545409,-0.1859038,"Botanical Gardens Road, Accra"
10,Standard Chartered Bank ATM,5.6508994,-0.186466,"MR27+9C3, Doutor J. B. Danquah Avenue, Accra"
11,GCB Bank ATM,5.6509345,-0.1876015,"MR26+9XC, W.E.B. Dubois Road, Accra"
12,Republic Bank ATM,5.6492928,-0.1870143,"JRX7+P59, Accra"
13,Ecobank ATM,5.652016199999999,-0.1883856,"W.E.B. Dubois Road, Accra"
14,Fidelity Bank - Offsite ATM  Legon Campus,5.6512692,-0.1889411,"Volta Car Park, Doctor, Doutor J. B. Danquah Avenue, Accra"
15,Zenith Bank ATM,5.6517231,-0.1890479,"MR26+M9P, Volta Road, Accra"
16,GCB Bank ATM - Legon,5.651951199999999,-0.1796571,"Legon East Road, Accra"
17,Stanbic Bank ATM - UG Legon,5.6426287,-0.1857233,"Banking Square, University of Ghana, Legon, Accra"
18,ADB - MADINA ATM,5.6435111,-0.1785453,"East Legon Road, Near Hollywood Complex, Accra"
19,Barclays Bank ATM (University of Ghana),5.650927900000001,-0.1863599,"MR27+9FC, Cruise O. Brien Road, Accra"
20,GCB Bank ATM Nsawam PWD Offsite,5.650639399999999,-0.1870506,Accra
21,Absa | Atm | Legon (campus) Branch,5.6509,-0.186328,"University Of Ghana Campus, Accra"
22,Barclays ATM,5.6519352,-0.1890204,"MR26+Q9H, Volta Road, Accra"
23,GT BANK ATM,5.650775899999999,-0.1889311,"MR26+8C8, Doutor J. B. Danquah Avenue, Accra"
24,Access Bank Visa ATM,5.6471601,-0.1874448,"JRW7+V27, Accra"
25,ADB Visa ATM,5.6471361,-0.1865436,"JRW7+V94, Accra"
26,Cuppycake House,5.6411701,-0.1743096,"La-Bawaleshi Road, Accra"
27,Cake City Center Point,5.6667129,-0.1798358,"Atomic Haatso Road, Accra"
28,Adwoaz Donut,5.650639399999999,-0.1870506,"Legon Campus, Accra"
29,rehobot snacks bar,5.6582124,-0.1813455,"Blk C Wing B, Annie Jiagge Road, Accra"
30,Mancho,5.6429905,-0.1861211,"JRV7+5HR, Jubilee Drive, Accra"
31,Taffy Cakes And More,5.641664,-0.1843234,"Mbabane Avenue, Accra"
32,Adepa Bakery,5.653206099999999,-0.1762038,"Tewu roundabout, Accra"
33,GANDY BAKES,5.6533636,-0.1748488,Accra
34,Cakenics,5.6383824,-0.1854627,Accra
35,Jaesm Cakes,5.641345299999999,-0.1735302,Accra
36,SERWAA BAKES,5.6688579,-0.1903175,"Akoto-Bamfo street, Accra"
37,Republic Bank - Legon Branch (University of Ghana),5.6432658,-0.1850153,"Noguchi Road, UG - Credit Union Building - University of Ghana, Legon, Accra"
38,EcoBank,5.6565498,-0.1814821,"Annie Jiagge Road, Accra"
39,Standard Chartered Bank Legon,5.6509168,-0.1865893,"Legon Campus, Doutor J. B. Danquah Ave Near Kingdom Bookshop, Accra"
40,CalBank,5.6425693,-0.1858115,"Legon, Jubilee Drive, Legon"
41,Consolidated Bank,5.642540400000001,-0.1858898,"JRV7+2J9, Accra"
42,Ecobank Legon Main Branch,5.642598399999999,-0.184657,"JRV8+24Q, Accra"
43,Ecobank Okponglo Branch,5.6412095,-0.1750695,"La-Bawaleshi Road, Accra"
44,Standard Chatered Bank (University of Ghana Branch),5.650803,-0.1865307,"MR27+89H, Accra"
45,Barclays Bank (University of Ghana Branch),5.650909,-0.186347,"MR27+9F6, Cruise O. Brien Road, Accra"
46,Absa | Branch | Legon Campus,5.6509,-0.186328,"University Of Ghana Campus, Accra"
47,GTBank ATM - Legon Campus,5.6517147,-0.1890506,"University of Ghana, Volta Hall Car Park, Accra"
48,Cal Bank,5.6481818,-0.181888,"JRX9+76H, La Road, Accra"
49,GCB Bank - Legon Branch,5.652058,-0.1795342,"Legon East Road, Accra"
50,Absa | Branch | Legon Main,5.654039000000001,-0.179091,"Opposite Legon ECG, Accra"
51,HFC Bank,5.6432666,-0.1850156,"JRV7+8X5, Accra"
52,Prudential Bank Ltd. - University of Ghana Branch,5.6429174,-0.1858902,"JRV7+5J9, Accra"
53,Access Bank,5.64294,-0.1856987,"JRV7+5PF, Noguchie Link, Accra"
54,ADB - Legon Campus Branch,5.6431166,-0.1848166,"Near Republic Bank, Accra"
55,Stanbic Bank - Legon Branch,5.642630799999999,-0.1857272,"University of Ghana, Legon Banking Square, Accra"
56,SGL Royal Kapita Okponglo,5.6375326,-0.1769003,"JRQF+269, Accra"
57,Candy's Spot,5.6668314,-0.1865006,"Haatso-Atomic Road, Accra"
58,Iron City Pub,5.650687500000001,-0.1870625,"MR27+754, Accra"
59,Tayiba Bar and Grill,5.650401799999999,-0.1867663,Adjacent Legon Botanical Garden at Agbogba Junction
60,Legon Hall Lectures Bar,5.6504247,-0.1886189,"MR26+5H6, Doutor J. B. Danquah Avenue, Accra"
61,Loggia Drinking Spot,5.645357000000001,-0.1875083,"JRW6+4XX, Mensah Sarbah Crescent, Accra"
62,D4 pub,5.648136399999999,-0.1810069,"JRX9+7H5, La Road, Accra"
63,Linda's Pub,5.6479099,-0.1806927,"JRX9+5P7, Accra"
64,Tipsy Alley Gh,5.642527900000002,-0.186214,"University of Ghana Stadium, Jubilee Drive, Accra"
65,OWNERS FOOD COURT,5.65157,-0.1756774,"P. O. BOX 2976 Kwabenya, Accra"
66,UG Bar and Grill,5.639318,-0.1824144,"JRQ9+P2G, UNIVERSITY SWIMING POOLSIDE, Accra"
67,Afua s Place,5.641696500000001,-0.1766146,"JRRF+M95, Accra"
68,Nichole's Pub,5.651459,-0.172257,"MR2H+H3Q, Accra"
69,Jenny's Gardens,5.6512796,-0.1719196,"Hospital Road, Accra"
70,Tayiba Bar & Grill,5.6670147,-0.1883395,"Haatso-Atomic Road, Accra"
71,The Library Pub,5.640377300000001,-0.1762109,"JRRF+5G3, Djibouti Road, Accra"
72,Tills Yogurt,5.667824299999999,-0.1876873,"1 Agbogba - Ashongman Road, Accra"
73,Liquor & Wine,5.667023299999999,-0.1804989,"Haatso-Atomic Road, Accra"
74,Sugar's Lounge,5.6671931,-0.1939365,"276 Haatso-Atomic Road, Accra"
75,Inferno Gh,5.668703299999999,-0.1856261,"20 Kofi Annan Avenue, Accra"
76,2020 Bay  Bar & Bistro,5.646306699999999,-0.1706659,"Trinity Avenue, Accra"
77,CONNIE'S BEAUTY SALON GHANA NEW LEGON BL,5.650639399999999,-0.1870506,"New Legon Rosa Rosa Greatest, Accra"
78,Beautylounge,5.650639399999999,-0.1870506,"D/907, Accra"
79,Lorikels Beauty Studio,5.651640799999999,-0.189889,"Volta Hall, Accra"
80,Swanky Nails and Beauty Salon,5.649601800000001,-0.1889785,"JRX6+RCR, Barimah Road, Accra"
81,Unique Salon and Locks Center,5.648104600000001,-0.1810171,"Bush Canteen, Legon East Road, Accra"
82,Ultimate Glamour,5.657344399999999,-0.1822227,"Legon, Accra"
83,Mejani Beauty Lounge,5.6537812,-0.1786967,"J.J Rawlings Avenue, Accra"
84,Nailcanta,5.6585992,-0.1810274,"Block C Wing D, Annie Jiagge Road, Accra"
85,Legacy Beauty Salon,5.6631847,-0.1818022,"MR79+77G, Accra"
86,Reenie’s Femiluxe,5.6413864,-0.1779594,"Box 23, Accra"
87,Lash Dollz,5.6373164,-0.1861728,"Alexander Kwapong Hall, University of Ghana"
88,Braids & Beyond - Okponglo Branch,5.640801799999999,-0.1770573,"JRRF+85G, La-Bawaleshi Road, Accra"
89,EsthetiQ beauty studio,5.636362099999999,-0.1854477,"Alexander kwapong hall Dr Dr hilla lihman hall, Accra"
90,Bloom nail studio,5.666440099999999,-0.1821277,"MR89+H4H, Accra"
91,AJ HAIRANDMAKEOVERS_GH,5.6411985,-0.1751003,"La-Bawaleshi Road, Accra"
92,Millys ArtisticNails & Parlor,5.641200100000001,-0.175063,"JRRF+FX, La-Bawaleshi Road, Accra"
93,Jomensbeautyparlor,5.6410333,-0.1750862,"JRRF+CX7, Accra"
94,Rock of Grace Beauty Palour,5.6653027,-0.1778398,"MR8C+4VF, Accra"
95,Bomb Hairs & Beauty Salon,5.667687,-0.1911343,"MR95+3GH, Haatso"
96,Auntie Alice Hair Centre,5.641229200000001,-0.1741936000000001,"Almond Street, Accra"
97,University Of Ghana Bookshop,5.6509915,-0.1867112,Accra
98,Partners Bookshop Annex,5.649126,-0.1884507,"JRX6+MJ3, Accra"
99,University of Ghana Bookshop Annex,5.651969699999999,-0.1819988,"MR29+Q6J, Annie Jiagge Road, Accra"
100,Sando Bookshop  Accra Branch,5.6481014,-0.1810563,"University of Ghana, Accra"
101,EPP Book Global,5.6534111,-0.1790218,"MR3C+999 Legon Boundary, Accra"
102,Inquiring Minds Bookstore,5.642421999999999,-0.18587,"University of Ghana Stadium, Jubilee Drive, Accra"
103,Kingdom Books and Stationery Limited - Atomic,5.667187699999999,-0.1791404,"MR8C+R6X, Accra"
104,Legon Trotro Station,5.6495469,-0.1792049,"Legon East Road, Accra"
105,Okponglo Bus Stop,5.641684100000001,-0.178116,Accra
